Дата,№ заказа,Наименование,Количество,Доп. Расход чипов,Излишки,Виды брака_Дефект 1,Виды брака_Дефект 2,Виды брака_Дефект 3,Виды брака_Дефект 4,Виды брака_Дефект 5,Виды брака_Дефект 6,Виды брака_Дефект 7,Виды брака_Дефект 8,Виды брака_Дефект 9,Виды брака_Дефект 10,% брака,Принт 1 сторона_Дефект 11,Принт 1 сторона_Дефект 12,Брак без видимых причин,Участок,Номенклатура,Цена,кол-во брака,Общее кол-во брака,Заказ клиента,Стоимость брака
2025-08-01,25УП-008067,gAAAAABpAh5GsjFH2vHdMtM9bgKBRvxf3t0XIo66jKX-Erg0IM46eUrjdxB4RJNkEcNII6J1CfXQcSAbfEBJ2DPoKngn3RQ-GYU857xYzBhx46r7KuQxfP-Zkjj2UDAEqOzaS4kiusoIXSsrYMeBqJ5RHbOCob_G31RSRLsCNauJV7ISNMt8BtAFci3h3YBWabKUp22rr52-sn2em6KH6fW8YbxPcUSBsg==,2.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,0.0,0.0,0,0.0
2025-08-01,25УП-008065,gAAAAABpAh5Gtas8O6hzLw-YNwVzf8aKJ009rJRvUnMPkHqpfuXRASLnZ0DGTat32jIHqGpGhJHgaANGBaGz0L_cqjhXe_7dgkQbmQw-98XzXLxhRaH2TXJPB3-Ivgjb-aC4XZyQJ_3rPLX4pESuAWqECI2uznr1Vvs1bEjuW5KOudfqYnObqvWEqZjcdoLfL9t8q0ymcuR1a3T8j38-IYRGpHhIEL9gFQ==,45.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,5.0,0.0,0.0,0,0.0
2025-08-01,25УП-008069,gAAAAABpAh5GExS9BCtrVjenXb-AFD3y5OKEgKIjwgS-QdQyrEnt9uDOfjGUXq_7w9UXsEOMQ3EzkMjg4LlZBDBXPe1_KRr1NaVmRNadmgz1eYz3ZZKJGDjluErkve6NJXcaCW73I6wsOOBfcdk_ViANQmh3-kg_eOENFDJpnhy5zzgqd8smdFJZY8pbsfdqKuBB3cGo-Tmthd4hGT2h266TwzNBvr8NVw==,42.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,0.0,0.0,0,0.0
2025-08-01,25УП-008070,gAAAAABpAh5GB9hl3N8daA9sBXPMyIEUE3vTi0I_BI6pBf_9jFTaHCZ6XWdeaoA4c0hOqAMvVQicV7a8VPtMuLP4wNV7TPWnvFnPP1BJ84GzqdTtZ3UFeaiv_uSTSZI9A94xJXjIx2xiAqEDaG6l87OZwq5yryRwy6sJlHlldmbhm7cdrYyFUmd-P2CR8toDUEj9XQfG18w3HytG6Hdkqx9iNEDXetCqlA==,3.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0.0,0.0,0,33.33,0,0,0.0,Цех 1,Отсутствует информация,0.0,1.0,0.0,0,0.0
2025-08-01,25УП-008059,gAAAAABpAh5GAK9_CnRNy6bcd0RGoXc3SfCP_hIz-Txo0w--YpDQ8bY9lRv4duzbwYBxSOLsC9w1HO5mIoJPqmSENj7EewINTtJt-Bk2-7Kza1HS6ECEmKmTd7NjvzY0oAbf9i44iKxUzanIxwJ7ahXD_gC2iIN-9hNa8OA9Gkj0KKOB-2ckKEaCwxPVJ_iIBXPbqtT7TEXKkN1tPfLr3ig8Hz5rMJilqg==,1.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,25.0,0.0,0.0,0,0.0
2025-08-01,25УП-008060,gAAAAABpAh5GRM-YT4OyPGy-a1eC4qtd_NRzTnbtpTXDPOvMZXTzr94DV7vNaZOAxS35-uSx_m184DPNQmZrLjMGH0plO6LWCtaMqXYoutbwxiRA8ntrsLlIeyNWJ-datQUn4v2A9DgjtXegI2vunANiap-XGT_V64Ncl6JKXX4WiUTYsE0K_0jXP_qmOD3IqgdeeI6ad3DCmA3m_E6_hJNKSKiVgc1jWw==,2.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,34.0,0.0,0.0,0,0.0
2025-08-01,25УП-008063,gAAAAABpAh5G7VO9h5MvFPXUVNsr6_G7jnePJD4MaxFmMCdVEFSRxb6bEm01YJ9HsntwdTjPXjuWIlLy9xGSDJ8ZzrVoXwWmSYgIzpKLX5ZWkhdSqjHFsroeiUC6dzhTlRG6ge_frOqJtn7LRx9DyP_XGzUm0LuHhUl3jTTQ4XBKCjQxs8RzW5oVPTSNAsyDx7dxAT0SWTZBDeWQ7n0vHothFK0MC95n4A==,97.0,0.0,0.0,0.0,0,0.0,4,0,0,0,0.0,0.0,0,4.12,0,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,2.0,4.0,0.0,0,8.0
2025-08-01,25УП-008058,gAAAAABpAh5GxhrF0a4RnY11SFcSrG1cu15fZSRldjFcOkJNwU5fkSvwYh8B2Ji21HOSJaC5VYdkMOlGbFxEZxS1cTexs20om847FEkTXt1pQ24kGHYZpqzSaC5TtwP3SDB59rgeyrHvgLCy1FKyvJFarnWPfd0WL6QEVAvVltD8bEog9hmlAb1-lzK_2hAmy9YgOaUa3ikC_BLzgCn2gA1x0WCkFCG2kA==,12.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,19.0,0.0,0.0,0,0.0
2025-08-01,25УП-008064,gAAAAABpAh5GhDRBkGTfhjtkelPkD6owNyYro92pdqFfq9nmNqCuZDBTCxaDkDpWBAoBkkhOC9HujsBolydsnuDfJc_0u6OmJk8BoErre8hnWeGtv-X9jJSOj4OuNa92zHMmoL2HcTI84RfHREQcrczCxo2BxlpbDEi4s9nvGGR20gtoSj3WGFT5F5DYe9GZSHrMa4NCk2Lj0HB15TRWM627cEy_IXAJJQ==,827.0,0.0,0.0,0.0,0,0.0,1,0,5,24,0.0,1.0,4,4.23,0,0,8.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,21.0,35.0,0.0,0,735.0
2025-08-01,25УП-007414,gAAAAABpAh5GZReV1Xd38GyEsC1ph9j3mTT2LlF51lKdZcaLpUH7QHvVwks6chomsoRYZh1Wz_sa8owUWUAEmKZsHdqJzAt-8cq6U9ObLZsO21Ay_ZfvbnyGPzpfH7tt69jywTh-zVCPgyxoUnnCAwO0WOsKtUlzONyOC1hZYSTzATCjXtBcyFlrT5uX8zK7BPeq0XVP9hxECl1VyMC7qOzAKQgcf68fhw==,500.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,5e86b032bf76163ecdde40f093fe3325c06e378388790c6265325684092a14ff,19.0,0.0,0.0,0,0.0
2025-08-02,25УП-008066,gAAAAABpAh5GmFyJbRjeqKwqQMMapjvs2t2RqhinQH9XUTBH7BtlQu5phhHEY3jjAVjMU7nml31ja8e-I-e_tZ6AVCv7DYh7otftMowPBiSZyOima02VR0OJOMnd9STK5IT3Se5tJhZnbtawNpcNzmHd1lLbNpLCYDNuya2eKgxOrXQHCRGwxR90iheQTT3aadjryWe_xKVjCGkP9HhPUStdLRp8IdFtRQ==,497.0,0.0,0.0,0.0,0,0.0,0,0,2,2,0.0,0.0,0,0.8,0,0,9.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,10.0,4.0,0.0,0,40.0
2025-08-02,25УП-008166,gAAAAABpAh5GiYWwPm5TWehqfeZD5eXhZbJ5Mc_kL6D74A48JZ1-m1ysmrHlYwEKOCqDbDngDzAlHKw09Qx9SVkRGkcFSrgoXMFeB3iniZ4z_JZQJq6KUDRyjcKI2VAm2Yfaos1RtnlkNBr1M8x7uWiwwDOshV91pMhrwpJirTsgeuYzDX0qCwOxeqH7C8wXsvgtnO_pucQUF0HuqzFzUcClzOcnYnJRy_zlF8fziOyoHrSsoM4N7b0-i9urB_9b3d53iBByCPOXwwznd9HBbplZLrDhKlQBvU7QKA0C-REowAy0uuoh6z4=,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,0.0,0.0,0,0.0
2025-08-02,25УП-008173,gAAAAABpAh5GJWyaA5F82h69asJnt97ixXHaEk6Cwkn_FgW0tCtJ0qKbgH4ONOSwiYbb6hHybTmjiBf7GTVMHUjhfzXcVd_m0n0_AWoze-m7WPfi4gHlbC6bS3ubrlrlkUG2WZqrsfvctjTWEjDlVIUyAY598BN-oLOvCvmECJq3jmHBk8YroBrd-ypX3PwQ8GTj2KmbPR9O6GXisBm7iNElwRRTsrjhTjR--uXHcd6A0bAWzOCjJsYtndP0DcX-dcnmbV4-Vc54oAC9_1JLH91GfVhiZTqtz5-phVIX-w5vSkRH_p_W1-O-ATFb3sebeZYrg0eizKYyz7jrNSTNcM0SueT082JQYQ==,16.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,8,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,12.0,0.0,0.0,0,0.0
2025-08-02,25УП-008182,gAAAAABpAh5G6VU4LifVi_FDIgTJIzckjDZaHcZdF3fJQIzU4GjH_qr1-gtaCWGIqNSHGRYZ7m9DNYMf_UHcN3bVK0qYALB45GGiyWCStv7oTM_rDlDkuHc4qc9IdvEDPNX3tYlU0gW3gNeFRoPiJBVi3TntUdGTs4S2EyRpKiSn5uVHEKPDUV6ebzC_0v8V3_6_CbtIZVTnzDWTJu2-DS7bzwqNMMx_MjckzHXUNKBLrh_JDZJsLdKXH5nalEOnihgHZdNQyj3R0CB0KrZRXe85Wm-S0TQoGzX0RG7YkvQDHjM3TIxc04gEWlRoTew4oz4i8Oai6Pddv69WyCIuDuYp76K4_wDZpQJR5Xa3R33VodN7nv4Tdhgl6OzePijBEjbUNuaenktzS9Hk1bQDtHB26S2wqOzBCw==,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,0.0,0.0,0,0.0
2025-08-02,25УП-008109,gAAAAABpAh5G5JiIxN_OHgVcXn3l_OiL0uZ4kV4F5TUZe9ffN17koIdE_SP9r-wmFbiChxbCCU3YbVjpI2m10TpL8TC0VBuJUPq8WlFjRvSFOmNLKeNAJRz0qWAoeEbNk-GTI2VoW-VxJW-uOY3kB0PMKOLxHMHIFpiDXW7cYyW5vumEMQwyanleDJsicvk5GuQxcTJ6T52d-4xAspmFf7t7DwM5BDl1baVnNg6GQA1dyUZJlSIaks1KzZCsOn_rVAiapg23aW9Hqp4CEHw57_WWt7kTSpbtBpSyYXEi6BUHULv4SXHxusDijPmVEQqzORT96p6wCNliI_nUAQdTsdEeLJPxI9wmoNMVnRh9vwp-PRpleV-SpvxZv2OW9StLMlqo4DNydLMN,48.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,39.0,0.0,0.0,0,0.0
2025-08-02,25УП-007558,gAAAAABpAh5G3FI3pruEzDMIsDsw9pWk3Aw8_8qyDJ_sm4PSOGlek7cn7H6UM1X6FpjBGFY1fj7mlDm_qJgrq9GC756_XxL1ZC7lKQpfxrEyx1Abj4K10G6eXc2hHXyxuweN1DaYOp57RKr7nVgXsWx5HhcVFUwD8g1whDarm8TA_OUe6q4QNYs4gt_rzY3ipowLiIx6xksV4_PY8QZ_pbh_nLne34ZhcEx2oNhrQKCIfu0KA6mpXVh6UPIvWvz6asFzuPPUUPY7sCiusBalTOrkjYUVj9BarASx0rnzeuEMBN_zh8jvvs6T1uu3fK3L6Nx1jjvbMChI,76.0,0.0,0.0,0.0,0,7.0,2,0,0,2,0.0,1.0,0,15.79,0,0,0.0,Цех 1,Отсутствует информация,0.0,12.0,0.0,0,0.0
2025-08-02,25УП-007555,gAAAAABpAh5GwGF9NYpg-da44814KYnWXZ7d0b6dQsbHrpv99DfZ6SS5CJ6g4kpuyOJiALYv8w0IdiJ2qvaK4DZttRTwLm2pcuQQcbOZLns-cFkJ81Mre26ABzIhki9zKyKBO2c334q6iOcbmqLNCdPJKQxhpCWqdlajdcEdsLW-eS4Y_0_sqVo3kG_6gb_v6I1NqSl9yzn5Dsy-cqIJOcvwx8UVf1fdWSVKhIq_NN7KEJPqM9f0Yb4bSSSAZMQSv-q4TJqw-4wrfhUcvAr6xF2mzV3lJ8b1bkLsPNDKGOMnBfbBB8K1AtU=,10.0,0.0,0.0,0.0,0,1.0,10,0,0,2,0.0,0.0,0,130.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,13.0,0.0,0,0.0
2025-08-02,25УП-007822,gAAAAABpAh5GCddgr9aCHLH1_BfRUcVNz3kM1WVMwyP5KMyI_S6GBFkuvbWSmqG0nQBvg55kP0SnRni2gIv4MkrpekuJIeAU7DoHzuybubgKnNlz-IhxvPAMVgkNYq9euJOAQqHwBcmQGCfmigPlaYBCLYqEPBti2hNB-mV1wvYFlX_XDUBg5oDNFRLMqFA6j0MHQN9ju2EengBUaxWTT93y9JT8mroyJRWmTr5yCtakSumYvt5Tp2zfd9Oi18B8HxYG1HgqAByxrJdXMS2AJalxkkkYUF1qULwPBgH_PdH7ryGErfocpqg=,93.0,0.0,0.0,0.0,0,0.0,0,0,0,0,4.0,0.0,0,4.3,0,0,0.0,Цех 1,Отсутствует информация,0.0,4.0,0.0,0,0.0
2025-08-02,25УП-007559,gAAAAABpAh5GAJf-tSImw_D0hTfsLXWrXJQsk4mixQLTBSHUdAYfVW-hQhNe2-Pzp_UuxpQtiI7s6gFlUGk4gNZelGR6XUuE0K6k9BEW7yoOLdlaTUhwwgcHLYJf23cLQnbzoqwzfvjYWc0WuB1vmrbBXT5xWE99XXspfN_1y_lyHlzN7fWoHH37EIhtAjet9_D94fHGJQu0yyVnAH0Lgxh9MHqI0APU1iM_54uW9xnMHzuzDlldE6D8NMzuPULkkCeuVHEEKnU-AAih3HY4ahX2rROfFvsV33RBKRIY76p2hS-BWu6QgT8=,64.0,0.0,0.0,0.0,0,0.0,4,12,1,0,0.0,0.0,0,26.56,0,23,0.0,Цех 1,Отсутствует информация,0.0,17.0,0.0,0,0.0
2025-08-02,25УП-007821,gAAAAABpAh5GeBiy59wegaqjsOZHwaCVVIjMWVWMiLpYoAHcSnY0-l41J9LtSBtmxkQ6jxB0VO-AG4bxqmb3kEWpiyMPY5-BOwY6FZp0lLWJmIMkSKkpe-39sK32DpElnafLKUvQUyGRgUH9bx6gp9VyrBb9G7UJwNMvW8hXyx8wYtCIjegL10ZLFZ57ixrfxDRC0SBgFvXP9uk78oOwL3F3wrsNcmv-KWXfQ7KmPIfS9PtpNIXuReB1DboZcllD84TjDrC_lchSx4siR6Sh6Z-KIed14J-E7SCXrnXKu9Ns0MrgIqaKmrc=,550.0,0.0,0.0,0.0,0,4.0,18,0,0,2,0.0,1.0,0,4.55,3,21,0.0,Цех 1,Отсутствует информация,0.0,25.0,0.0,0,0.0
2025-08-02,25УП-007557,gAAAAABpAh5GbYW1JQDULwN919QJp_lwioRrwNuBs1cZdH_KszKTB59Nf8LMvOh82T0lKbIUqHjPNrTXmVld5c1ONGLPeQk3NbaSqia2ofnof7TEtJbkM4eDLMSlXrGoAZkk2J78mLGAMC-LTVrDbJLRgV83W5tha6_lo-6jrPM9CQ2uiNTbB3MnWko_Aauvyt-Q_YLXYnClq-S7G425Cmh1k4d448lMX--i0ZcGHVj4i9O7-J13d8ClnyRInYtMI_Ms0tbWOGykc0ma3zsr1LawigSQoqrBo4NA3kPivfvo5zFbHS_-1SBinQ4O2vv_15D-g1yNrntFc0PXmLzLnXq9zyUDtPTUrg==,8.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,0.0,0.0,0,0.0
2025-08-02,25УП-008190,gAAAAABpAh5GnlpsHQ-WUgMvGeKodbzuvkllMjcs9yjr8BJDgsVQaIyiiCCxjng5rwn7EPMikrvG-2g8oGYvUGG5VthlCguOoNMf72hwjmS1Corne6hhW8upgWnhmvf_ENY1mxpBSJQl1RLCQT9qVuK5s7_ygVIwm_8KawobuxwFxWtm63PuGVyObVtePn0DrK4G_WP2_17Ge6XU41tNIO8xz-D0rYmAyspaGKw8_GsYSTFT1ql6t9wbNJTdXe4F9pSA8mVrxYwTAUbHmatmwavPRpAW6V14yEpAO_W09YXre68oEDNI0pnZzk7v5_rrf9mQLzZcp3mg2T18pADLk4GDEjCHZHVBvBqHOEh-Kd9i-wGL52VQCMW9qILQy38jZbdfur2A40aaRIMUjil1cJGiNeQqXlHPQg==,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,0.0,0.0,0,0.0
2025-08-02,25УП-008181,gAAAAABpAh5G4jpWeju-s_fBHEdx-ONNMAqRtFhiCb07nAK9a7wQnnwv2rtkw5uoEJiqOI0xxLORvIAILI_rmmHRfJJtJu0h0rJrVB3AOQjkT450_RsUTmcr4zx9SrkU2BiloVjoI1K_CldK6yaxxJ3adMYMS0CwrFHKjq5vc9CZm6w9vjTnIuXJnscaEtQcJPaazN35n5VcS9xtdDcIKEhcqa5-iwNSubaurhgh9wH74nV_u1LN807htj-m1phQblkXhV2aOn4l,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,1.0,0.0,0,0.0
